scenario,prompt_len,concurrency,stop_cfg,cached,n,p50,p95,p99,lat_min,lat_max,lat_mean,ttft_p50,ttft_p95,ttft_p99,avg_tok_s,sys_tok_s,req_s,wall_s,gpu_pct
short_c1_none_miss,short,1,none,False,2,0.5928,0.621,0.6235,0.5615,0.6241,0.5928,0.4308,0.4807,0.4851,16.74,16.7,1.67,1.1979,
short_c1_none_hit,short,1,none,True,2,0.5232,0.5279,0.5283,0.518,0.5284,0.5232,0.3773,0.3787,0.3788,15.29,15.15,1.89,1.0564,
short_c1_period_miss,short,1,period,False,2,0.551,0.5871,0.5903,0.511,0.5911,0.551,0.3928,0.4093,0.4107,16.16,16.21,1.8,1.1103,
short_c1_period_hit,short,1,period,True,2,0.5106,0.516,0.5164,0.5046,0.5166,0.5106,0.4188,0.4209,0.4211,13.71,13.53,1.93,1.035,
short_c1_newline_miss,short,1,newline,False,2,0.5926,0.6469,0.6518,0.5322,0.653,0.5926,0.3934,0.4021,0.4029,16.7,16.73,1.67,1.1953,
short_c1_newline_hit,short,1,newline,True,2,0.5206,0.5293,0.5301,0.5109,0.5303,0.5206,0.3671,0.3717,0.3721,15.38,15.18,1.9,1.0538,
long_c1_none_miss,long,1,none,False,2,4.5107,4.8753,4.9077,4.1057,4.9158,4.5107,0.794,1.1605,1.1931,44.7,44.29,0.22,9.032,
long_c1_none_hit,long,1,none,True,2,4.1294,4.1366,4.1373,4.1215,4.1374,4.1294,0.3977,0.3986,0.3987,48.44,48.37,0.24,8.2693,
long_c1_period_miss,long,1,period,False,2,0.6908,0.906,0.9251,0.4516,0.9299,0.6908,0.4207,0.4276,0.4282,18.34,22.92,1.43,1.3963,
long_c1_period_hit,long,1,period,True,2,0.759,0.9033,0.9162,0.5987,0.9194,0.759,0.4053,0.4245,0.4262,26.63,27.46,1.31,1.5295,
long_c1_newline_miss,long,1,newline,False,2,1.9381,2.1143,2.13,1.7423,2.1339,1.9381,0.3706,0.381,0.3819,42.69,42.74,0.51,3.8841,
long_c1_newline_hit,long,1,newline,True,2,2.3392,2.3888,2.3932,2.2841,2.3943,2.3392,0.4138,0.4318,0.4334,44.67,44.55,0.43,4.6917,
short_c2_none_miss,short,2,none,False,4,1.1035,1.8814,1.957,0.6159,1.9759,1.1997,0.8905,1.2602,1.2685,14.36,20.65,1.2,3.3407,
short_c2_none_hit,short,2,none,True,4,0.5667,1.3599,1.4705,0.5365,1.4982,0.792,0.3975,1.0968,1.1947,13.32,17.42,1.94,2.0665,
short_c2_period_miss,short,2,period,False,4,0.5874,0.7755,0.8004,0.5467,0.8066,0.6321,0.3988,0.4102,0.4106,18.64,34.56,2.82,1.4177,
short_c2_period_hit,short,2,period,True,4,0.528,0.6043,0.6133,0.4987,0.6156,0.5426,0.385,0.4011,0.403,13.8,26.28,3.5,1.1414,
short_c2_newline_miss,short,2,newline,False,4,0.5947,0.8152,0.846,0.5741,0.8537,0.6543,0.4118,0.4301,0.4302,21.06,38.99,2.74,1.4619,
short_c2_newline_hit,short,2,newline,True,4,0.568,0.5918,0.5929,0.5463,0.5931,0.5688,0.3887,0.397,0.3981,15.78,30.29,3.37,1.1884,
long_c2_none_miss,long,2,none,False,4,4.2458,4.9615,5.0623,4.2068,5.0876,4.4465,0.4235,1.1392,1.2401,45.27,85.64,0.43,9.3409,
long_c2_none_hit,long,2,none,True,4,4.6098,5.0375,5.0421,4.2097,5.0433,4.6181,0.7987,1.2141,1.2183,43.64,79.58,0.4,10.0532,
long_c2_period_miss,long,2,period,False,4,0.6885,0.9697,0.9988,0.4205,1.0061,0.7009,0.3777,0.3841,0.3845,21.15,38.22,2.25,1.7794,
long_c2_period_hit,long,2,period,True,4,1.2052,1.6203,1.6312,0.7233,1.6339,1.1919,0.3947,1.0865,1.1814,26.87,40.15,1.25,3.1883,
long_c2_newline_miss,long,2,newline,False,4,2.2273,2.3837,2.3996,1.0416,2.4036,1.975,0.4161,0.4202,0.4202,40.3,69.97,0.85,4.6878,
long_c2_newline_hit,long,2,newline,True,4,1.168,1.828,1.912,0.4595,1.933,1.1821,0.4215,0.4358,0.4359,28.8,51.55,1.26,3.1817,
short_c4_none_miss,short,4,none,False,8,0.7171,1.6146,1.6763,0.529,1.6917,0.8916,0.4018,1.2249,1.2355,17.47,45.8,3.16,2.5327,
short_c4_none_hit,short,4,none,True,8,0.6675,1.6309,1.6364,0.537,1.6378,0.9809,0.4197,1.2954,1.3249,11.39,22.0,2.44,3.2722,
short_c4_period_miss,short,4,period,False,8,0.7424,1.1449,1.2702,0.6193,1.3015,0.7935,0.4053,0.9499,1.173,19.42,54.42,3.69,2.1684,
short_c4_period_hit,short,4,period,True,8,0.5605,0.6097,0.6262,0.5219,0.6303,0.5583,0.3965,0.4302,0.4322,13.87,51.07,6.59,1.2141,
short_c4_newline_miss,short,4,newline,False,8,0.794,1.584,1.6211,0.6397,1.6304,1.0022,0.4248,1.2371,1.2409,16.23,37.57,2.55,3.1408,
short_c4_newline_hit,short,4,newline,True,8,0.5987,0.6654,0.6704,0.5688,0.6716,0.6118,0.4239,0.4285,0.4287,16.4,62.4,6.24,1.282,
long_c4_none_miss,long,4,none,False,8,4.3391,5.145,5.1497,4.3224,5.1509,4.5362,0.4414,1.2162,1.2206,44.33,168.22,0.84,9.5116,
long_c4_none_hit,long,4,none,True,8,4.3534,4.3668,4.3678,4.3253,4.3681,4.3498,0.4224,0.4317,0.4344,45.98,182.99,0.91,8.7438,
long_c4_period_miss,long,4,period,False,8,0.8522,1.6803,1.7178,0.4269,1.7271,0.9224,0.4194,0.4284,0.4286,22.2,64.52,2.4,3.3324,
long_c4_period_hit,long,4,period,True,8,0.9288,1.6202,1.6207,0.6765,1.6208,1.0752,0.4008,0.4198,0.4204,30.52,106.64,3.09,2.5881,
long_c4_newline_miss,long,4,newline,False,8,2.0738,2.7827,2.8089,0.9959,2.8154,1.9489,0.4121,0.4185,0.4193,38.9,118.75,1.5,5.322,
long_c4_newline_hit,long,4,newline,True,8,2.2972,2.8984,3.0397,0.4821,3.075,2.0297,0.454,0.4661,0.4663,36.42,117.94,1.43,5.5789,
